nome_emissor_padronizado,nome_emissor_fitch,nome_emissor_moodys,nome_emissor_standard_and_poors,cnpj_emissor
AVLA SEGUROS,,Avla Seguros Brasil S.A.,,41182665000140
AXIA ENERGIA,AXIA Energia S.A.,,,00001180000126
AXIA ENERGIA NORDESTE,AXIA Energia Nordeste S.A.,,,33541368000116
AXS ENERGIA UFV GOIAS SPE,,AXS Energia UFV Goias SPE S.A.,,46409396000126
AXS ENERGIA UNIDADE 08,,AXS Energia Unidade 08 S.A.,,
AZ QUEST INVESTIMENTOS,,AZ Quest Investimentos Ltda.,,04506394000105
AZUL,Azul S.A.,,Azul S.A.,09305994000129
AZUL INVESTMENTS LLP,AZUL Investments LLP,,,
AZZAS 2154,,,AZZAS 2154 S.A.,16590234000176
B3,"B3 S.A. Brasil, Bolsa, Balcao","B3 S.A. – Brasil, Bolsa, Balcão",,09346601000125
BABILONIA HOLDING,,Babilônia Holding S.A.,,26680187000105
BAHIA AM RENDA FIXA,,Bahia AM Renda Fixa Ltda.,,13151244000117
BAHIA AM RENDA VARIAVEL,,Bahia AM Renda Variável Ltda.,,13143849000166
BANCO,Banco do Brasil S.A.,Banco do Brasil S.A.,,00000000000191
BANCO ABC,Banco ABC Brasil S.A.,Banco ABC Brasil S.A.,Banco ABC Brasil S.A.,05715127000100
BANCO AGIBANK,Banco Agibank S.A.,Banco Agibank S.A.,Banco Agibank S.A.,10664513000150
BANCO AMAZONIA,Banco da Amazonia S.A.,Banco da Amazônia S.A.,,04902979000144
BANCO ANDBANK,Banco Andbank (Brasil) S.A.,,,48795256000169
BANCO BARI INVESTIMENTOS FINANCIAMENTOS,,Banco Bari de Investimentos e Financiamentos S.A.,,00556603000174
BANCO BMG,Banco BMG S.A.,Banco BMG S.A.,Banco BMG S.A.,61186680000174
BANCO BNP PARIBAS,Banco BNP Paribas Brasil S.A.,,,01522368000182
BANCO BOCOM BBM,Banco BOCOM BBM S.A.,Banco BOCOM BBM S.A.,,15114366000169
BANCO BRADESCO,Banco Bradesco S.A.,Banco Bradesco S.A.,Banco Bradesco S.A.,60746948000112
BANCO BRASILEIRO CREDITO,Banco Brasileiro de Credito S.A,Banco Brasileiro de Credito S.A.,,01852137000137
BANCO BS2,,Banco BS2 S.A.,,71027866000134
BANCO BTG PACTUAL,Banco BTG Pactual S.A.,Banco BTG Pactual S.A.,Banco BTG Pactual S.A.,30306294000145
BANCO C6,Banco C6 S.A.,,Banco C6 S.A.,
BANCO C6 CONSIGNADO,Banco C6 Consignado S.A.,,Banco C6 Consignado S.A.,
BANCO C6 TRAVESSIA,,Banco C6 e Travessia - 16ª Debenture Estruturada (INSS),,
BANCO CAIXA GERAL,,Banco Caixa Geral - Brasil S.A.,,33466988000138
BANCO CHINA,,Banco da China Brasil S.A.,,10690848000143
BANCO CITIBANK,Banco Citibank S.A.,,,33479023000180
BANCO CNH INDUSTRIAL CAPITAL,Banco CNH Industrial Capital S.A.,,,02992446000175
