data_captura,no_entidade,link,Tipo de Rating,Rating,Data da Ação de Rating,Ação de Rating,CreditWatch/ Perspectiva,dt_captura
,Ribeiro Goncalves Energia Solar S.A.,https://www.fitchratings.com/entity/ribeiro-goncalves-energia-solar-spe-sa-97544021,National Long Term Rating,AA+(bra),2026-04-08,Affirmed,Rating Outlook Stable,2026-06-08
,Bradseg Participacoes S.A.,https://www.fitchratings.com/entity/bradseg-participacoes-sa-97341773,Local Currency Long Term Issuer Default Rating,BB+,2026-04-08,Affirmed,Rating Outlook Stable,2026-06-08
,Bradseg Participacoes S.A.,https://www.fitchratings.com/entity/bradseg-participacoes-sa-97341773,National Long Term Rating,AAA(bra),2026-04-08,Affirmed,Rating Outlook Stable,2026-06-08
,Oncoclinicas do Brasil Servicos Medicos S.A.,https://www.fitchratings.com/entity/oncoclinicas-do-brasil-servicos-medicos-sa-97385347,National Long Term Rating,RD(bra),2026-04-07,Downgrade,,2026-06-08
,Cooperativa de Economia e Credito Mutuo dos Medicos de Porto Alegre Ltda. - Unicred Porto Alegre,https://www.fitchratings.com/entity/cooperativa-de-economia-e-credito-mutuo-dos-medicos-de-porto-alegre-ltda-unicred-porto-alegre-97402946,National Long Term Rating,A(bra),2026-04-07,Review - No Action,Rating Outlook Stable,2026-06-08
,Cooperativa de Economia e Credito Mutuo dos Medicos de Porto Alegre Ltda. - Unicred Porto Alegre,https://www.fitchratings.com/entity/cooperativa-de-economia-e-credito-mutuo-dos-medicos-de-porto-alegre-ltda-unicred-porto-alegre-97402946,National Short Term Rating,F1(bra),2026-04-07,Review - No Action,,2026-06-08
,Cooperativa De Credito Unicred Valor Capital Ltda - Unicred Valor Capital,https://www.fitchratings.com/entity/cooperativa-de-credito-unicred-da-grande-florianopolis-ltda-unicred-florianopolis-96855758,National Long Term Rating,A+(bra),2026-04-07,Review - No Action,Rating Outlook Stable,2026-06-08
,Cooperativa De Credito Unicred Valor Capital Ltda - Unicred Valor Capital,https://www.fitchratings.com/entity/cooperativa-de-credito-unicred-da-grande-florianopolis-ltda-unicred-florianopolis-96855758,National Short Term Rating,F1(bra),2026-04-07,Review - No Action,,2026-06-08
,Cooperativa de Cred dos Medicos Dentistas Prof da Area da Saude e de Livre Admissao do Estado de Sao Paulo Ltda. Unicred do Estado de Sao Paulo,https://www.fitchratings.com/entity/cooperativa-de-econ-e-cred-mutuo-dos-medicos-e-demais-profissionais-da-area-de-saude-do-estado-de-sao-paulo-ltda-unicred-do-estado-de-sao-paulo-97419789,National Short Term Rating,F1(bra),2026-04-07,Review - No Action,,2026-06-08
,Cooperativa de Cred dos Medicos Dentistas Prof da Area da Saude e de Livre Admissao do Estado de Sao Paulo Ltda. Unicred do Estado de Sao Paulo,https://www.fitchratings.com/entity/cooperativa-de-econ-e-cred-mutuo-dos-medicos-e-demais-profissionais-da-area-de-saude-do-estado-de-sao-paulo-ltda-unicred-do-estado-de-sao-paulo-97419789,National Long Term Rating,A(bra),2026-04-07,Review - No Action,Rating Outlook Stable,2026-06-08
,Cooperativa de Credito Unicred Centro-Sul Ltda. - Unicred Centro-Sul,https://www.fitchratings.com/entity/cooperativa-de-credito-unicred-sul-catarinense-ltda-unicred-sul-catarinense-96856408,National Short Term Rating,F1(bra),2026-04-07,Review - No Action,,2026-06-08
,Cooperativa de Credito Unicred Centro-Sul Ltda. - Unicred Centro-Sul,https://www.fitchratings.com/entity/cooperativa-de-credito-unicred-sul-catarinense-ltda-unicred-sul-catarinense-96856408,National Long Term Rating,A(bra),2026-04-07,Review - No Action,Rating Outlook Positive,2026-06-08
,Cooperativa de Credito Unicred Uniao Ltda - Unicred Uniao,https://www.fitchratings.com/entity/cooperativa-de-credito-unicred-uniao-ltda-unicred-uniao-96855738,National Short Term Rating,F2(bra),2026-04-07,Review - No Action,,2026-06-08
,Cooperativa de Credito Unicred Uniao Ltda - Unicred Uniao,https://www.fitchratings.com/entity/cooperativa-de-credito-unicred-uniao-ltda-unicred-uniao-96855738,National Long Term Rating,A-(bra),2026-04-07,Review - No Action,Rating Outlook Positive,2026-06-08
,"Cooperativa de Credito dos Medicos, Profissionais da Saude e Empresarios - Unicred Raizes",https://www.fitchratings.com/entity/cooperativa-de-credito-dos-medicos-profissionais-da-saude-e-empresarios-de-mato-grosso-96722694,National Long Term Rating,A+(bra),2026-04-07,Review - No Action,Rating Outlook Stable,2026-06-08
,"Cooperativa de Credito dos Medicos, Profissionais da Saude e Empresarios - Unicred Raizes",https://www.fitchratings.com/entity/cooperativa-de-credito-dos-medicos-profissionais-da-saude-e-empresarios-de-mato-grosso-96722694,National Short Term Rating,F1(bra),2026-04-07,Review - No Action,,2026-06-08
,Kora Saude Participacoes S.A.,https://www.fitchratings.com/entity/kora-saude-participacoes-sa-97357794,National Long Term Rating,RD(bra),2026-04-02,Downgrade,,2026-06-08
,Aguas Guariroba S.A.,https://www.fitchratings.com/entity/aguas-guariroba-sa-89867861,National Long Term Rating,AA(bra),2026-04-02,Rating Watch On,Rating Watch Negative,2026-06-08
,Companhia Riograndense de Saneamento Corsan,https://www.fitchratings.com/entity/companhia-riograndense-de-saneamento-corsan-97071542,National Long Term Rating,AA(bra),2026-04-02,Rating Watch On,Rating Watch Negative,2026-06-08
,Aegea Saneamento e Participacoes S.A.,https://www.fitchratings.com/entity/aegea-saneamento-e-participacoes-sa-91565696,Long Term Issuer Default Rating,BB-,2026-04-02,Downgrade,Rating Watch Negative,2026-06-08
,Aegea Saneamento e Participacoes S.A.,https://www.fitchratings.com/entity/aegea-saneamento-e-participacoes-sa-91565696,Local Currency Long Term Issuer Default Rating,BB-,2026-04-02,Downgrade,Rating Watch Negative,2026-06-08
,Aegea Saneamento e Participacoes S.A.,https://www.fitchratings.com/entity/aegea-saneamento-e-participacoes-sa-91565696,National Long Term Rating,A+(bra),2026-04-02,Downgrade,Rating Watch Negative,2026-06-08
,Prolagos S.A. - Concessionaria de Servicos Publicos de Agua e Esgoto,https://www.fitchratings.com/entity/prolagos-sa-concessionaria-de-servicos-publicos-de-agua-e-esgoto-89867865,National Long Term Rating,AA(bra),2026-04-02,Rating Watch On,Rating Watch Negative,2026-06-08
,Aguas de Teresina Saneamento SPE S.A.,https://www.fitchratings.com/entity/aguas-de-teresina-saneamento-spe-sa-96568164,National Long Term Rating,AA(bra),2026-04-02,Rating Watch On,Rating Watch Negative,2026-06-08
,Companhia de Saneamento de Minas Gerais COPASA MG,https://www.fitchratings.com/entity/companhia-de-saneamento-de-minas-gerais-copasa-94017690,National Long Term Rating,AAA(bra),2026-04-02,Affirmed,Rating Outlook Stable,2026-06-08
,CMPC Celulose Riograndense Ltda,https://www.fitchratings.com/entity/cmpc-celulose-riograndense-ltda-97326111,National Long Term Rating,AAA(bra),2026-04-01,Affirmed,Rating Outlook Stable,2026-06-08
,Impar Servicos Hospitalares S.A.,https://www.fitchratings.com/entity/impar-servicos-hospitalares-sa-96827709,National Long Term Rating,AA-(bra),2026-03-31,Review - No Action,Rating Outlook Stable,2026-06-08
,Tegma Gestao Logistica S.A.,https://www.fitchratings.com/entity/tegma-gestao-logistica-sa-96789056,National Long Term Rating,A(bra),2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,Diagnosticos da America S.A.,https://www.fitchratings.com/entity/diagnosticos-da-america-sa-dasa-86681525,National Long Term Rating,AA(bra),2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,Diagnosticos da America S.A.,https://www.fitchratings.com/entity/diagnosticos-da-america-sa-dasa-86681525,Long Term Issuer Default Rating,WD,2015-08-04,Withdrawn,,2026-06-08
,Diagnosticos da America S.A.,https://www.fitchratings.com/entity/diagnosticos-da-america-sa-dasa-86681525,Local Currency Long Term Issuer Default Rating,WD,2015-08-04,Withdrawn,,2026-06-08
,"Sergipe, State of",https://www.fitchratings.com/entity/sergipe-state-of-94875890,Long Term Issuer Default Rating,BB,2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,"Sergipe, State of",https://www.fitchratings.com/entity/sergipe-state-of-94875890,Short Term Issuer Default Rating,B,2026-03-30,Affirmed,,2026-06-08
,"Sergipe, State of",https://www.fitchratings.com/entity/sergipe-state-of-94875890,Standalone Credit Profile,bb,2026-03-30,Affirmed,,2026-06-08
,"Sergipe, State of",https://www.fitchratings.com/entity/sergipe-state-of-94875890,National Short Term Rating,F1+(bra),2026-03-30,Affirmed,,2026-06-08
,"Sergipe, State of",https://www.fitchratings.com/entity/sergipe-state-of-94875890,National Long Term Rating,AAA(bra),2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,"Sergipe, State of",https://www.fitchratings.com/entity/sergipe-state-of-94875890,Local Currency Short Term Issuer Default Rating,B,2026-03-30,Affirmed,,2026-06-08
,"Sergipe, State of",https://www.fitchratings.com/entity/sergipe-state-of-94875890,Local Currency Long Term Issuer Default Rating,BB,2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,Fundacao Petrobras de Seguridade Social - Petros,https://www.fitchratings.com/entity/fundacao-petrobras-de-seguridade-social-petros-97346837,Investment Management Quality Rating,Excellent,2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,BRF S.A.,https://www.fitchratings.com/entity/brf-sa-90455677,Long Term Issuer Default Rating,BB+,2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,BRF S.A.,https://www.fitchratings.com/entity/brf-sa-90455677,Local Currency Long Term Issuer Default Rating,BB+,2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,BRF S.A.,https://www.fitchratings.com/entity/brf-sa-90455677,National Long Term Rating,AAA(bra),2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,Marfrig Global Foods S.A.,https://www.fitchratings.com/entity/marfrig-global-foods-sa-87227374,Long Term Issuer Default Rating,BB+,2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,Marfrig Global Foods S.A.,https://www.fitchratings.com/entity/marfrig-global-foods-sa-87227374,Local Currency Long Term Issuer Default Rating,BB+,2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,Marfrig Global Foods S.A.,https://www.fitchratings.com/entity/marfrig-global-foods-sa-87227374,National Long Term Rating,AAA(bra),2026-03-30,Affirmed,Rating Outlook Stable,2026-06-08
,Cimed & Co. S.A.,https://www.fitchratings.com/entity/cimed-co-sa-97629249,National Long Term Rating,AA(bra),2026-03-26,Downgrade,Rating Outlook Stable,2026-06-08
,Banco Digimais S.A.,https://www.fitchratings.com/entity/banco-digimais-sa-89817862,National Short Term Rating,B(bra),2026-03-26,Downgrade,Rating Watch Negative,2026-06-08
,Banco Digimais S.A.,https://www.fitchratings.com/entity/banco-digimais-sa-89817862,National Long Term Rating,BB+(bra),2026-03-26,Downgrade,Rating Watch Negative,2026-06-08
,Petroleo Brasileiro S.A. (Petrobras),https://www.fitchratings.com/entity/petroleo-brasileiro-sa-petrobras-80090802,Long Term Issuer Default Rating,BB,2026-03-26,Review - No Action,Rating Outlook Stable,2026-06-08
,Petroleo Brasileiro S.A. (Petrobras),https://www.fitchratings.com/entity/petroleo-brasileiro-sa-petrobras-80090802,National Long Term Rating,AAA(bra),2026-03-26,Review - No Action,Rating Outlook Stable,2026-06-08
,Petroleo Brasileiro S.A. (Petrobras),https://www.fitchratings.com/entity/petroleo-brasileiro-sa-petrobras-80090802,Local Currency Long Term Issuer Default Rating,BB,2026-03-26,Review - No Action,Rating Outlook Stable,2026-06-08
,Petroleo Brasileiro S.A. (Petrobras),https://www.fitchratings.com/entity/petroleo-brasileiro-sa-petrobras-80090802,Standalone Credit Profile,bbb,2026-03-26,Review - No Action,,2026-06-08
,Elfa Medicamentos S.A.,https://www.fitchratings.com/entity/elfa-medicamentos-sa-97629129,National Long Term Rating,B-(bra),2026-03-25,Downgrade,Rating Outlook Negative,2026-06-08
,Klabin S.A.,https://www.fitchratings.com/entity/klabin-sa-90196280,Long Term Issuer Default Rating,BB+,2026-03-25,Affirmed,Rating Outlook Positive,2026-06-08
,Klabin S.A.,https://www.fitchratings.com/entity/klabin-sa-90196280,Local Currency Long Term Issuer Default Rating,BB+,2026-03-25,Affirmed,Rating Outlook Positive,2026-06-08
,Klabin S.A.,https://www.fitchratings.com/entity/klabin-sa-90196280,National Long Term Rating,AAA(bra),2026-03-25,Affirmed,Rating Outlook Stable,2026-06-08
,BTG Pactual Asset Management DTVM S.A.,https://www.fitchratings.com/entity/btg-pactual-asset-management-dtvm-sa-90404869,Investment Management Quality Rating,Excellent,2026-03-23,Affirmed,Rating Outlook Stable,2026-06-08
,BTG Pactual Asset Management DTVM S.A.,https://www.fitchratings.com/entity/btg-pactual-asset-management-dtvm-sa-90404869,Asset Manager Rating,WD,2017-03-06,Withdrawn,,2026-06-08
,BTG Pactual Asset Management DTVM S.A.,https://www.fitchratings.com/entity/btg-pactual-asset-management-dtvm-sa-90404869,National Asset Manager Rating,WD(bra),2013-04-23,Withdrawn,,2026-06-08
,Companhia Estadual de Geracao De Energia Eletrica - Ceee-G,https://www.fitchratings.com/entity/companhia-estadual-de-geracao-de-energia-eletrica-ceee-g-97686013,National Long Term Rating,BBB-(bra),2026-03-20,Downgrade,Rating Watch Negative,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,Long Term Issuer Default Rating,BB,2026-03-20,Affirmed,Rating Outlook Stable,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,Short Term Issuer Default Rating,B,2026-03-20,Affirmed,,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,Local Currency Short Term Issuer Default Rating,B,2026-03-20,Affirmed,,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,National Short Term Rating,F1+(bra),2026-03-20,Affirmed,,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,National Long Term Rating,AA+(bra),2026-03-20,Affirmed,Rating Outlook Stable,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,Local Currency Long Term Issuer Default Rating,BB,2026-03-20,Affirmed,Rating Outlook Stable,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,Viability Rating,bb,2026-03-20,Affirmed,,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,Government Support Rating,ns,2026-03-20,Affirmed,,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,Support Rating,WD,2022-04-20,Withdrawn,,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,Support Rating Floor,WD,2022-04-20,Withdrawn,,2026-06-08
,Banco Daycoval S.A.,https://www.fitchratings.com/entity/banco-daycoval-sa-80543450,Individual Rating,WD,2012-01-25,Withdrawn,,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,Long Term Issuer Default Rating,BB-,2026-03-20,Affirmed,Rating Outlook Stable,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,Short Term Issuer Default Rating,B,2026-03-20,Affirmed,,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,Viability Rating,bb-,2026-03-20,Affirmed,,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,National Short Term Rating,F1+(bra),2026-03-20,Affirmed,,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,Government Support Rating,ns,2026-03-20,Affirmed,,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,Local Currency Short Term Issuer Default Rating,B,2026-03-20,Affirmed,,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,Local Currency Long Term Issuer Default Rating,BB-,2026-03-20,Affirmed,Rating Outlook Stable,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,National Long Term Rating,AA(bra),2026-03-20,Affirmed,Rating Outlook Stable,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,Support Rating Floor,WD,2018-09-17,Withdrawn,,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,Support Rating,WD,2018-09-17,Withdrawn,,2026-06-08
,Banco Industrial do Brasil S.A.,https://www.fitchratings.com/entity/banco-industrial-do-brasil-sa-80543456,Individual Rating,WD,2011-11-14,Withdrawn,,2026-06-08
,Banco Sofisa S.A.,https://www.fitchratings.com/entity/banco-sofisa-sa-80480839,National Short Term Rating,F1+(bra),2026-03-20,Affirmed,,2026-06-08
,Banco Sofisa S.A.,https://www.fitchratings.com/entity/banco-sofisa-sa-80480839,National Long Term Rating,AA-(bra),2026-03-20,Affirmed,Rating Outlook Stable,2026-06-08
,Banco Sofisa S.A.,https://www.fitchratings.com/entity/banco-sofisa-sa-80480839,Support Rating,WD,2011-12-15,Withdrawn,,2026-06-08
,Grupo Salta Educacao S/A,https://www.fitchratings.com/entity/grupo-salta-educacao-s-a-97555197,National Long Term Rating,AA-(bra),2026-03-19,Affirmed,Rating Outlook Positive,2026-06-08
,TRSP - Terminal de Regaseificacao de GNL de Sao Paulo S.A,https://www.fitchratings.com/entity/trsp-terminal-de-regaseificacao-de-gnl-de-sao-paulo-sa-97692746,National Long Term Rating,AA(bra),2026-03-18,Downgrade,Rating Watch Negative,2026-06-08
,Compass Gas e Energia S.A.,https://www.fitchratings.com/entity/compass-gas-e-energia-sa-97270144,National Long Term Rating,AA(bra),2026-03-18,Downgrade,Rating Watch Negative,2026-06-08
,Compass Gas e Energia S.A.,https://www.fitchratings.com/entity/compass-gas-e-energia-sa-97270144,Local Currency Long Term Issuer Default Rating,WD,2025-05-28,Withdrawn,,2026-06-08
,Compass Gas e Energia S.A.,https://www.fitchratings.com/entity/compass-gas-e-energia-sa-97270144,Long Term Issuer Default Rating,WD,2025-05-28,Withdrawn,,2026-06-08
,"MagaluPay - Sociedade de Credito, Financiamento e Investimento S.A.",https://www.fitchratings.com/entity/magalupay-sociedade-de-credito-financiamento-e-investimento-sa-97825456,National Short Term Rating,F1+(bra),2026-03-17,Publish,,2026-06-08
,"MagaluPay - Sociedade de Credito, Financiamento e Investimento S.A.",https://www.fitchratings.com/entity/magalupay-sociedade-de-credito-financiamento-e-investimento-sa-97825456,National Long Term Rating,AA-(bra),2026-03-17,Publish,Rating Outlook Stable,2026-06-08
,Aeris Industria e Comercio de Equipamentos para Geracao de Energia S.A.,https://www.fitchratings.com/entity/aeris-industria-e-comercio-de-equipamentos-para-geracao-de-energia-sa-97108213,National Long Term Rating,WD(bra),2026-03-17,Withdrawn,,2026-06-08
,Ferrovia Norte Sul S.A.,https://www.fitchratings.com/entity/ferrovia-norte-sul-sa-97592975,National Long Term Rating,AAA(bra),2026-03-16,Affirmed,Rating Outlook Stable,2026-06-08
,Ultrafertil S.A.,https://www.fitchratings.com/entity/ultrafertil-sa-96174694,National Long Term Rating,AAA(bra),2026-03-16,Affirmed,Rating Outlook Stable,2026-06-08
,VLI Multimodal S.A.,https://www.fitchratings.com/entity/vli-multimodal-sa-96166129,National Long Term Rating,AAA(bra),2026-03-16,Affirmed,Rating Outlook Stable,2026-06-08
,VLI S.A.,https://www.fitchratings.com/entity/vli-sa-94391490,National Long Term Rating,AAA(bra),2026-03-16,Affirmed,Rating Outlook Stable,2026-06-08
,Patria INFRA Credito I Fundo de Investimento EM Direitos Creditorios,https://www.fitchratings.com/entity/patria-infra-credito-i-fundo-de-investimento-em-direitos-creditorios-97432402,National Fund Credit Quality Rating,BBBf(bra),2026-03-16,Affirmed,,2026-06-08
,Copobras S.A. Industria e Comercio de Embalagens,https://www.fitchratings.com/entity/copobras-s-a-industria-e-comercio-de-embalagens-97199208,National Long Term Rating,BBB+(bra),2026-03-12,Affirmed,Rating Outlook Stable,2026-06-08
,DM Instituicao de Pagamento S.A.,https://www.fitchratings.com/entity/dmcard-cartoes-de-credito-sa-96604805,National Short Term Rating,F3(bra),2026-03-12,Upgrade,,2026-06-08
,DM Instituicao de Pagamento S.A.,https://www.fitchratings.com/entity/dmcard-cartoes-de-credito-sa-96604805,National Long Term Rating,BBB-(bra),2026-03-12,Upgrade,Rating Outlook Stable,2026-06-08
,Raizen Energia S.A.,https://www.fitchratings.com/entity/raizen-energia-s-a-91300896,Long Term Issuer Default Rating,C,2026-03-12,Downgrade,,2026-06-08
,Raizen Energia S.A.,https://www.fitchratings.com/entity/raizen-energia-s-a-91300896,National Long Term Rating,C(bra),2026-03-12,Downgrade,,2026-06-08
,Raizen Energia S.A.,https://www.fitchratings.com/entity/raizen-energia-s-a-91300896,Local Currency Long Term Issuer Default Rating,C,2026-03-12,Downgrade,,2026-06-08
,Raizen S.A.,https://www.fitchratings.com/entity/raizen-combustiveis-sa-91300899,Long Term Issuer Default Rating,C,2026-03-12,Downgrade,,2026-06-08
,Raizen S.A.,https://www.fitchratings.com/entity/raizen-combustiveis-sa-91300899,National Long Term Rating,C(bra),2026-03-12,Downgrade,,2026-06-08
,Raizen S.A.,https://www.fitchratings.com/entity/raizen-combustiveis-sa-91300899,Local Currency Long Term Issuer Default Rating,C,2026-03-12,Downgrade,,2026-06-08
,Companhia Brasileira de Distribuicao S.A. (CBD),https://www.fitchratings.com/entity/companhia-brasileira-de-distribuicao-sa-cbd-80438369,National Long Term Rating,C(bra),2026-03-11,Downgrade,,2026-06-08
,Suzano S.A.,https://www.fitchratings.com/entity/suzano-sa-80092054,Long Term Issuer Default Rating,BBB-,2026-03-10,Affirmed,Rating Outlook Positive,2026-06-08
,Suzano S.A.,https://www.fitchratings.com/entity/suzano-sa-80092054,Local Currency Long Term Issuer Default Rating,BBB-,2026-03-10,Affirmed,Rating Outlook Positive,2026-06-08
,Suzano S.A.,https://www.fitchratings.com/entity/suzano-sa-80092054,National Long Term Rating,AAA(bra),2025-12-18,Review - No Action,Rating Outlook Stable,2026-06-08
,Eldorado Brasil Celulose S.A.,https://www.fitchratings.com/entity/eldorado-brasil-celulose-sa-96152344,Long Term Issuer Default Rating,BB,2026-03-10,Affirmed,Rating Outlook Stable,2026-06-08
,Eldorado Brasil Celulose S.A.,https://www.fitchratings.com/entity/eldorado-brasil-celulose-sa-96152344,Local Currency Long Term Issuer Default Rating,BB,2026-03-10,Affirmed,Rating Outlook Stable,2026-06-08
,Eldorado Brasil Celulose S.A.,https://www.fitchratings.com/entity/eldorado-brasil-celulose-sa-96152344,National Long Term Rating,AA+(bra),2025-06-20,Affirmed,Rating Outlook Stable,2026-06-08
,LD Celulose S.A.,https://www.fitchratings.com/entity/ld-celulose-sa-97626283,Long Term Issuer Default Rating,BB-,2026-03-10,Affirmed,Rating Outlook Positive,2026-06-08
,LD Celulose S.A.,https://www.fitchratings.com/entity/ld-celulose-sa-97626283,Local Currency Long Term Issuer Default Rating,BB-,2026-03-10,Affirmed,Rating Outlook Positive,2026-06-08
,LD Celulose S.A.,https://www.fitchratings.com/entity/ld-celulose-sa-97626283,National Long Term Rating,AA(bra),2025-09-17,Affirmed,Rating Outlook Positive,2026-06-08
,Companhia de Saneamento Basico do Estado de Sao Paulo (SABESP),https://www.fitchratings.com/entity/companhia-de-saneamento-basico-do-estado-de-sao-paulo-sabesp-80614473,Long Term Issuer Default Rating,BB+,2026-03-09,Affirmed,Rating Outlook Stable,2026-06-08
,Companhia de Saneamento Basico do Estado de Sao Paulo (SABESP),https://www.fitchratings.com/entity/companhia-de-saneamento-basico-do-estado-de-sao-paulo-sabesp-80614473,National Long Term Rating,AAA(bra),2026-03-09,Affirmed,Rating Outlook Stable,2026-06-08
,Companhia de Saneamento Basico do Estado de Sao Paulo (SABESP),https://www.fitchratings.com/entity/companhia-de-saneamento-basico-do-estado-de-sao-paulo-sabesp-80614473,Local Currency Long Term Issuer Default Rating,BB+,2026-03-09,Affirmed,Rating Outlook Stable,2026-06-08
,Serena Geracao S.A.,https://www.fitchratings.com/entity/omega-geracao-sa-96480320,National Long Term Rating,AA(bra),2026-03-06,Affirmed,Rating Outlook Stable,2026-06-08
,Serena Desenvolvimento S.A.,https://www.fitchratings.com/entity/omega-desenvolvimento-sa-97437998,National Long Term Rating,A+(bra),2026-03-06,Affirmed,Rating Outlook Stable,2026-06-08
,J. Macedo S.A.,https://www.fitchratings.com/entity/j-macedo-sa-96481693,National Long Term Rating,AA(bra),2026-03-06,Affirmed,Rating Outlook Stable,2026-06-08
,Oi S.A.,https://www.fitchratings.com/entity/oi-sa-80090797,Long Term Issuer Default Rating,RD,2026-03-05,Downgrade,,2026-06-08
,Oi S.A.,https://www.fitchratings.com/entity/oi-sa-80090797,National Long Term Rating,RD(bra),2026-03-05,Downgrade,,2026-06-08
,Oi S.A.,https://www.fitchratings.com/entity/oi-sa-80090797,Local Currency Long Term Issuer Default Rating,RD,2026-03-05,Downgrade,,2026-06-08
,Caixa Economica Federal,https://www.fitchratings.com/entity/caixa-economica-federal-80092109,Long Term Issuer Default Rating,BB,2026-03-05,Affirmed,Rating Outlook Stable,2026-06-08
,Caixa Economica Federal,https://www.fitchratings.com/entity/caixa-economica-federal-80092109,Short Term Issuer Default Rating,B,2026-03-05,Affirmed,,2026-06-08
,Caixa Economica Federal,https://www.fitchratings.com/entity/caixa-economica-federal-80092109,National Short Term Rating,F1+(bra),2026-03-05,Affirmed,,2026-06-08
,Caixa Economica Federal,https://www.fitchratings.com/entity/caixa-economica-federal-80092109,Government Support Rating,bb,2026-03-05,Affirmed,,2026-06-08
,Caixa Economica Federal,https://www.fitchratings.com/entity/caixa-economica-federal-80092109,Local Currency Long Term Issuer Default Rating,BB,2026-03-05,Affirmed,Rating Outlook Stable,2026-06-08
,Caixa Economica Federal,https://www.fitchratings.com/entity/caixa-economica-federal-80092109,Local Currency Short Term Issuer Default Rating,B,2026-03-05,Affirmed,,2026-06-08
,Caixa Economica Federal,https://www.fitchratings.com/entity/caixa-economica-federal-80092109,National Long Term Rating,AAA(bra),2026-03-05,Affirmed,Rating Outlook Stable,2026-06-08
,Caixa Economica Federal,https://www.fitchratings.com/entity/caixa-economica-federal-80092109,Support Rating,WD,2022-06-01,Withdrawn,,2026-06-08
,Caixa Economica Federal,https://www.fitchratings.com/entity/caixa-economica-federal-80092109,Support Rating Floor,WD,2022-06-01,Withdrawn,,2026-06-08
,Banco da Amazonia S.A.,https://www.fitchratings.com/entity/banco-da-amazonia-sa-80543406,Long Term Issuer Default Rating,BB,2026-03-05,Affirmed,Rating Outlook Stable,2026-06-08
,Banco da Amazonia S.A.,https://www.fitchratings.com/entity/banco-da-amazonia-sa-80543406,Short Term Issuer Default Rating,B,2026-03-05,Affirmed,,2026-06-08
,Banco da Amazonia S.A.,https://www.fitchratings.com/entity/banco-da-amazonia-sa-80543406,Local Currency Long Term Issuer Default Rating,BB,2026-03-05,Affirmed,Rating Outlook Stable,2026-06-08
,Banco da Amazonia S.A.,https://www.fitchratings.com/entity/banco-da-amazonia-sa-80543406,National Long Term Rating,AAA(bra),2026-03-05,Affirmed,Rating Outlook Stable,2026-06-08
,Banco da Amazonia S.A.,https://www.fitchratings.com/entity/banco-da-amazonia-sa-80543406,Government Support Rating,bb,2026-03-05,Affirmed,,2026-06-08
