data_captura,no_entidade,link,Tipo de Rating,Rating,Data da Ação de Rating,Ação de Rating,CreditWatch/ Perspectiva,dt_captura
,Energisa S.A.,https://www.fitchratings.com/entity/energisa-sa-83598865,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Minas Rio - Distribuidora de Energia S.A.,https://www.fitchratings.com/entity/energisa-minas-gerais-distribuidora-de-energia-s-a-83598868,Long Term Issuer Default Rating,BB,2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Minas Rio - Distribuidora de Energia S.A.,https://www.fitchratings.com/entity/energisa-minas-gerais-distribuidora-de-energia-s-a-83598868,Local Currency Long Term Issuer Default Rating,BB,2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Minas Rio - Distribuidora de Energia S.A.,https://www.fitchratings.com/entity/energisa-minas-gerais-distribuidora-de-energia-s-a-83598868,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Sergipe - Distribuidora de Energia S/A,https://www.fitchratings.com/entity/energisa-sergipe-distribuidora-de-energia-s-a-83215018,Long Term Issuer Default Rating,BB,2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Sergipe - Distribuidora de Energia S/A,https://www.fitchratings.com/entity/energisa-sergipe-distribuidora-de-energia-s-a-83215018,Local Currency Long Term Issuer Default Rating,BB,2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Sergipe - Distribuidora de Energia S/A,https://www.fitchratings.com/entity/energisa-sergipe-distribuidora-de-energia-s-a-83215018,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Tocantins - Distribuidora de Energia S/A,https://www.fitchratings.com/entity/energisa-tocantins-distribuidora-de-energia-s-a-96689844,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Paraiba - Distribuidora de Energia S/A,https://www.fitchratings.com/entity/energisa-paraiba-distribuidora-de-energia-s-a-83215024,Long Term Issuer Default Rating,BB,2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Paraiba - Distribuidora de Energia S/A,https://www.fitchratings.com/entity/energisa-paraiba-distribuidora-de-energia-s-a-83215024,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Paraiba - Distribuidora de Energia S/A,https://www.fitchratings.com/entity/energisa-paraiba-distribuidora-de-energia-s-a-83215024,Local Currency Long Term Issuer Default Rating,BB,2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Corporeos Servicos Terapeuticos S.A.,https://www.fitchratings.com/entity/corporeos-servicos-terapeuticos-sa-97572161,National Long Term Rating,A(bra),2026-04-30,Upgrade,Rating Outlook Stable,2026-06-08
,MPM Corporeos S.A.,https://www.fitchratings.com/entity/mpm-corporeos-sa-97252184,National Long Term Rating,A(bra),2026-04-30,Upgrade,Rating Outlook Stable,2026-06-08
,Telefonica Brasil S.A.,https://www.fitchratings.com/entity/telefonica-brasil-sa-88576199,National Long Term Rating,AAA(bra),2026-04-30,Affirmed,Rating Outlook Stable,2026-06-08
,Allianca Saude e Participacoes S.A.,https://www.fitchratings.com/entity/centro-de-imagem-diagnosticos-sa-alliar-96507481,National Long Term Rating,RD(bra),2026-04-30,Affirmed,,2026-06-08
,Nexa Resources S.A.,https://www.fitchratings.com/entity/nexa-resources-sa-96494566,Long Term Issuer Default Rating,BBB-,2026-04-30,Affirmed,Rating Outlook Stable,2026-06-08
,Nexa Resources S.A.,https://www.fitchratings.com/entity/nexa-resources-sa-96494566,National Long Term Rating,AAA(bra),2026-04-30,Affirmed,Rating Outlook Stable,2026-06-08
