dt_captura,no_emissor,link
2026-08-27,"Riza Securitizadora 2023-166-1,2 (J. Macedo)",https://www.fitchratings.com/entity/virgo-companhia-de-securitizacao-2023-1-2-j-macedo-97483386
2026-08-27,"Opea Securitizadora S.A. 2024-262-1,2,3 (Allos)",https://www.fitchratings.com/entity/opea-securitizadora-sa-2024-262-1-2-3-allos-97585637
2026-08-27,"Eco Securitizadora 2025-434-1,2,3,5 (BRF)",https://www.fitchratings.com/entity/eco-securitizadora-2025-434-1-2-3-4-5-brf-97825988
2026-08-27,Eco Securitizadora 2024-343-1 (Marfrig),https://www.fitchratings.com/entity/eco-securitizadora-2024-343-1-marfrig-97633970
2026-08-27,Bari Securitizadora 2024-35-1 (RNI),https://www.fitchratings.com/entity/bari-securitizadora-2024-35-1-rni-97669954
2026-08-27,"Eco Securitizadora 2026-447-1,2,3,4 (BRF)",https://www.fitchratings.com/entity/eco-securitizadora-2026-447-1-2-3-4-brf-97884510
2026-08-27,"Opea Securitizadora S.A. 2026-588-1,2,3 (Allos)",https://www.fitchratings.com/entity/opea-securitizadora-sa-2026-588-1-2-3-allos-97871091
2026-08-27,"Eco Securitizadora 2026-442-1,2,3,4 (Lar)",https://www.fitchratings.com/entity/eco-securitizadora-2026-442-1-2-3-4-lar-97866647
2026-08-27,"Opea Securitizadora S.A. 2023-189-1,2,3,4 (Iguatemi)",https://www.fitchratings.com/entity/opea-securitizadora-sa-2023-1-2-3-4-iguatemi-97534657
2026-08-27,Riza Securitizadora 2021-4-378 (Hapvida),https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2021-378-hapvida-97300765
2026-08-27,"Riza Securitizadora 2023-182-1,2,3,4 (Norsa)",https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2023-1-2-3-4-norsa-97545488
2026-08-27,Eco Securitizadora 2023-308-1 (Dexco),https://www.fitchratings.com/entity/eco-securitizadora-2023-308-1-dexco-97569197
2026-08-27,Opea Securitizadora S.A. 2022-1-463 (Havan),https://www.fitchratings.com/entity/opea-securitizadora-sa-2022-463-havan-97344099
2026-08-27,Opea Securitizadora S.A. 2022-1-508 (Rede D'Or),https://www.fitchratings.com/entity/opea-securitizadora-sa-2022-508-rede-d-or-97370848
2026-08-27,"Riza Securitizadora 2024-188-1,2,3 (Zamp)",https://www.fitchratings.com/entity/virgo-companhia-de-securitizacao-97569652
2026-08-27,"Vert Cia Securitizadora 2024-124-1,2,3,4,5 (Dasa)",https://www.fitchratings.com/entity/vert-companhia-securitizadora-2024-124-1-2-3-4-5-dasa-97566585
2026-08-27,"Eco Securitizadora 2022-187-1,2 (Dexco)",https://www.fitchratings.com/entity/eco-securitizadora-de-direitos-creditorios-do-agronegocio-sa-2022-1-2-dexco-97396008
2026-08-27,Opea Securitizadora S.A. 2022-49-1 (Cogna),https://www.fitchratings.com/entity/true-securitizadora-2022-1-cogna-97402909
2026-08-27,Eco Securitizadora 2022-188-2 (Armac),https://www.fitchratings.com/entity/eco-securitizadora-2022-2-armac-97398158
2026-08-27,Eco Securitizadora 2022-188-1 (Armac),https://www.fitchratings.com/entity/eco-securitizadora-2022-1-armac-97396408
2026-08-27,Riza Securitizadora 2022-62-3 (Hapvida),https://www.fitchratings.com/entity/virgo-companhia-de-securitizacao-2022-3-bcbf-97435474
2026-08-27,"Vert Cia Securitizadora 2022-94-1,2,3 (Dasa)",https://www.fitchratings.com/entity/vert-companhia-securitizadora-2022-1-2-dasa-97421532
2026-08-27,"Opea Securitizadora S.A. 2022-72-1,2,3 (Assai)",https://www.fitchratings.com/entity/true-securitizadora-2022-1-2-3-assai-97419780
2026-08-27,"Opea Securitizadora S.A. 2022-52-1,2 (Mercado Livre)",https://www.fitchratings.com/entity/true-securitizadora-2022-2-mercado-livre-97410838
2026-08-27,"Eco Securitizadora 2024-369-1,2,3,4 (Marfrig)",https://www.fitchratings.com/entity/eco-secutirizadora-2024-369-1-2-3-4-marfrig-97667697
2026-08-27,"Opea Securitizadora S.A. 2023-134-1,2 (Allos)",https://www.fitchratings.com/entity/opea-securitizadora-sa-2023-1-2-aliansce-97471052
2026-08-27,"Opea Securitizadora S.A. 2025-395-1,2 (BR Malls)",https://www.fitchratings.com/entity/opea-securitizadora-sa-2025-395-1-2-br-malls-97695820
2026-08-27,"Opea Securitizadora S.A. 2021-1-428,429 (Assai)",https://www.fitchratings.com/entity/true-securitizadora-2021-428-429-assai-97278113
2026-08-27,Vert Cia Securitizadora 2021-60-1 (BRF),https://www.fitchratings.com/entity/vert-companhia-securitizadora-2021-1-brf-97228641
2026-08-27,Opea Securitizadora S.A. 2021-1-397 (Rede D'Or),https://www.fitchratings.com/entity/rb-sec-companhia-de-securitizacao-2021-397-rede-d-or-97298488
2026-08-27,"Eco Securitizadora 2022-153-1,2,3 (Marfrig)",https://www.fitchratings.com/entity/eco-securitizadora-2022-1-2-3-97343669
2026-08-27,"Riza Securitizadora 2022-95-1,2,3 (Norsa)",https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2022-1-2-3-norsa-97354020
2026-08-27,Opea Securitizadora S.A. 2022-3-1 (Grupo Mateus),https://www.fitchratings.com/entity/true-securitizadora-2022-1-mateus-97381497
2026-08-27,Opea Securitizadora S.A. 2022-18-1 (Selmi),https://www.fitchratings.com/entity/true-securitizadora-2022-18-selmi-97329355
2026-08-27,Opea Securitizadora S.A. 2022-1-509 (Rede D'Or),https://www.fitchratings.com/entity/opea-securitizadora-sa-2022-509-rede-d-or-97370854
2026-08-27,Vert Cia Securitizadora 2019-30-1 (Klabin),https://www.fitchratings.com/entity/vert-companhia-securitizadora-96764451
