dt_captura,no_emissor,link
2026-09-02,Banco Pine S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000690
2026-09-02,Banco Rabobank International Brasil S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000119
2026-09-02,Banco Randon S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1001245
2026-09-02,Banco Safra S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000401
2026-09-02,Banco Santander (Brasil) S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000299
2026-09-02,Banco Sofisa S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1001462
2026-09-02,Banco Sumitomo Mitsui Brasileiro S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000778
2026-09-02,Banco Toyota do Brasil S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000627
2026-09-02,Banco Volkswagen S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1001286
2026-09-02,Banco Votorantim S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000291
2026-09-02,Banco XP S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000269
2026-09-02,Banco de Desenvolvimento de Minas Gerais S.A. - BDMG,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000906
2026-09-02,Banco do Estado do Para S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000873
2026-09-02,Banco do Estado do Rio Grande do Sul S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000056
2026-09-02,Banco do Nordeste do Brasil S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1001475
2026-09-02,BancoSeguro S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000721
2026-09-02,Bank of China (Brasil) Banco Multiplo S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1001282
2026-09-02,Bari Securitizadora S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/STRUC - CMBS/entityId/1008450
2026-09-02,Barueri Energia Renovavel S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000784
2026-09-02,Cachoeira Paulista Transmissora de Energia S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000565
2026-09-02,Caixa Economica Federal,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1001117
2026-09-02,Calango 6 Energia Renovavel S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000351
2026-09-02,Caldeirao Grande Energias Renovaveis S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000116
2026-09-02,"Caruana S.A. - Sociedade de Credito, Financiamento e Investimento",https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000205
2026-09-02,Habitasec Securitizadora S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/STRUC - CMBS/entityId/1000933
2026-09-02,Haitong Banco de Investimento do Brasil S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000112
2026-09-02,Jalles Machado S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1001355
2026-09-02,Kallas Incorporacoes e Construcoes S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000916
2026-09-02,Lagoa 1 Energia Renovável S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000444
2026-09-02,Laticinios Bela Vista S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1001019
2026-09-02,Madero Industria E Comercio S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1001021
2026-09-02,Magazine Luiza S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000472
2026-09-02,Manaus Ambiental S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1001534
2026-09-02,Manaus Transmissora de Energia S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1001230
2026-09-02,Marfrig Global Foods S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000446
2026-09-02,Martins Comercio e Servico de Distribuicao S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000522
2026-09-02,Nardini Agroindustrial Ltda.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000871
2026-09-02,Natura Cosmeticos S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000800
2026-09-02,Padova Participacoes S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1008470
2026-09-02,Pampa Transmissao de Energia S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000002
2026-09-02,Paraiba (State of),https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/GOVS/entityId/1000031
2026-09-02,Parana Banco S.A,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000294
2026-09-02,Paranagua Saneamento S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1001229
2026-09-02,Parsan S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000814
2026-09-02,Raizen S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1001149
2026-09-02,Randoncorp S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000180
